group,pattern,eat,absorbPartsNum,Time-consuming
8,decay,0.15000000000000002,0,49.79999999999988
8,decay,0.15000000000000002,0,50.09999999999988
8,decay,0.15000000000000002,0,50.39999999999988
8,decay,0.15000000000000002,0,50.699999999999875
8,decay,0.15000000000000002,0,50.99999999999987
8,decay,0.15000000000000002,0,51.29999999999987
8,decay,0.15000000000000002,0,51.599999999999866
8,decay,0.15000000000000002,0,51.899999999999864
8,decay,0.15000000000000002,0,52.19999999999986
8,decay,0.15000000000000002,0,52.49999999999986
8,decay,0.15000000000000002,0,52.799999999999855
8,decay,0.15000000000000002,0,53.09999999999985
8,decay,0.15000000000000002,0,53.39999999999985
8,decay,0.15000000000000002,0,53.69999999999985
8,decay,0.15000000000000002,0,53.999999999999844
8,decay,0.15000000000000002,0,54.29999999999984
8,decay,0.15000000000000002,0,54.59999999999984
8,decay,0.15000000000000002,0,54.899999999999835
8,decay,0.15000000000000002,0,55.19999999999983
8,decay,0.15000000000000002,0,55.49999999999983
8,decay,0.15000000000000002,0,55.79999999999983
8,decay,0.15000000000000002,0,56.099999999999824
8,decay,0.15000000000000002,0,56.39999999999982
8,decay,0.15000000000000002,0,56.69999999999982
8,decay,0.15000000000000002,0,56.999999999999815
8,decay,0.15000000000000002,0,57.29999999999981
8,decay,0.15000000000000002,0,57.59999999999981
8,decay,0.15000000000000002,0,57.89999999999981
8,decay,0.15000000000000002,0,58.199999999999804
8,decay,0.15000000000000002,0,58.4999999999998
8,decay,0.15000000000000002,0,58.7999999999998
8,decay,0.15000000000000002,0,59.099999999999795
8,decay,0.15000000000000002,0,59.39999999999979
8,decay,0.15000000000000002,0,59.69999999999979
8,decay,0.15000000000000002,0,59.99999999999979
8,decay,0.15000000000000002,0,60.299999999999784
8,decay,0.15000000000000002,0,60.59999999999978
8,decay,0.15000000000000002,0,60.89999999999978
8,decay,0.15000000000000002,0,61.199999999999775
8,decay,0.15000000000000002,0,61.49999999999977
8,decay,0.15000000000000002,0,61.79999999999977
8,decay,0.15000000000000002,0,62.09999999999977
8,decay,0.15000000000000002,0,62.399999999999764
8,decay,0.15000000000000002,0,62.69999999999976
8,decay,0.15000000000000002,0,62.99999999999976
8,decay,0.15000000000000002,0,63.299999999999756
8,decay,0.15000000000000002,0,63.59999999999975
8,decay,0.15000000000000002,0,63.89999999999975
8,decay,0.15000000000000002,0,64.19999999999975
8,decay,0.15000000000000002,0,64.49999999999974
8,decay,0.15000000000000002,0,64.79999999999974
8,decay,0.15000000000000002,0,65.09999999999974
8,decay,0.15000000000000002,0,65.39999999999974
8,decay,0.15000000000000002,0,65.69999999999973
8,decay,0.15000000000000002,0,65.99999999999973
8,decay,0.15000000000000002,0,66.29999999999973
8,decay,0.15000000000000002,0,66.59999999999972
8,decay,0.15000000000000002,0,66.89999999999972
8,decay,0.15000000000000002,0,67.19999999999972
8,decay,0.15000000000000002,0,67.49999999999972
8,decay,0.15000000000000002,0,67.79999999999971
8,decay,0.15000000000000002,0,68.09999999999971
8,decay,0.15000000000000002,0,68.39999999999971
8,decay,0.15000000000000002,0,68.6999999999997
8,decay,0.15000000000000002,0,68.9999999999997
8,decay,0.15000000000000002,0,69.2999999999997
8,decay,0.15000000000000002,0,69.5999999999997
8,decay,0.15000000000000002,0,69.8999999999997
8,decay,0.15000000000000002,0,70.19999999999969
8,decay,0.15000000000000002,0,70.49999999999969
8,decay,0.15000000000000002,0,70.79999999999968
8,decay,0.15000000000000002,0,71.09999999999968
8,decay,0.15000000000000002,0,71.39999999999968
8,decay,0.15000000000000002,0,71.69999999999968
8,decay,0.15000000000000002,0,71.99999999999967
8,decay,0.15000000000000002,0,72.29999999999967
8,decay,0.15000000000000002,0,72.59999999999967
8,decay,0.15000000000000002,0,72.89999999999966
8,decay,0.15000000000000002,0,73.19999999999966
8,decay,0.15000000000000002,0,73.49999999999966
8,decay,0.15000000000000002,0,73.79999999999966
8,decay,0.15000000000000002,0,74.09999999999965
8,decay,0.15000000000000002,0,74.39999999999965
8,decay,0.15000000000000002,0,74.69999999999965
8,decay,0.15000000000000002,0,74.99999999999964
8,decay,0.15000000000000002,0,75.29999999999964
8,decay,0.15000000000000002,0,75.59999999999964
8,decay,0.15000000000000002,0,75.89999999999964
8,decay,0.15000000000000002,0,76.19999999999963
8,decay,0.15000000000000002,0,76.49999999999963
8,decay,0.15000000000000002,0,76.79999999999963
8,decay,0.15000000000000002,0,77.09999999999962
8,decay,0.15000000000000002,0,77.39999999999962
8,decay,0.15000000000000002,0,77.69999999999962
8,decay,0.15000000000000002,0,77.99999999999962
8,decay,0.15000000000000002,0,78.29999999999961
8,decay,0.15000000000000002,0,78.59999999999961
8,decay,0.15000000000000002,0,78.89999999999961
8,decay,0.15000000000000002,0,79.1999999999996
8,decay,0.15000000000000002,0,79.4999999999996
8,decay,0.15000000000000002,0,79.7999999999996
8,decay,0.15000000000000002,0,80.0999999999996
8,decay,0.15000000000000002,0,80.3999999999996
8,decay,0.15000000000000002,0,80.69999999999959
8,decay,0.15000000000000002,0,80.99999999999959
8,decay,0.15000000000000002,0,81.29999999999959
8,decay,0.15000000000000002,0,81.59999999999958
8,decay,0.15000000000000002,0,81.89999999999958
8,decay,0.15000000000000002,0,82.19999999999958
8,decay,0.15000000000000002,0,82.49999999999957
8,decay,0.15000000000000002,0,82.79999999999957
8,decay,0.15000000000000002,0,83.09999999999957
8,decay,0.15000000000000002,0,83.39999999999957
8,decay,0.15000000000000002,0,83.69999999999956
8,decay,0.15000000000000002,0,83.99999999999956
8,decay,0.15000000000000002,0,84.29999999999956
8,decay,0.15000000000000002,0,84.59999999999955
8,decay,0.15000000000000002,0,84.89999999999955
8,decay,0.15000000000000002,0,85.19999999999955
8,decay,0.15000000000000002,0,85.49999999999955
8,decay,0.15000000000000002,0,85.79999999999954
8,decay,0.15000000000000002,0,86.09999999999954
8,decay,0.15000000000000002,0,86.39999999999954
8,decay,0.15000000000000002,0,86.69999999999953
8,decay,0.15000000000000002,0,86.99999999999953
8,decay,0.15000000000000002,0,87.29999999999953
8,decay,0.15000000000000002,0,87.59999999999953
8,decay,0.15000000000000002,0,87.89999999999952
8,decay,0.15000000000000002,0,88.19999999999952
8,decay,0.15000000000000002,0,88.49999999999952
8,decay,0.15000000000000002,0,88.79999999999951
8,decay,0.15000000000000002,0,89.09999999999951
8,decay,0.15000000000000002,0,89.39999999999951
8,decay,0.15000000000000002,0,89.6999999999995
8,decay,0.15000000000000002,0,89.9999999999995
8,decay,0.15000000000000002,0,90.2999999999995
8,decay,0.15000000000000002,0,90.5999999999995
9,decay,0.15000000000000002,0,0.0
9,decay,0.15000000000000002,0,0.3
9,decay,0.15000000000000002,0,0.6
9,decay,0.15000000000000002,0,0.8999999999999999
9,decay,0.15000000000000002,0,1.2
9,decay,0.15000000000000002,0,1.5
9,decay,0.15000000000000002,0,1.8
9,decay,0.15000000000000002,0,2.1
9,decay,0.15000000000000002,0,2.4
9,decay,0.15000000000000002,0,2.6999999999999997
9,decay,0.15000000000000002,0,2.9999999999999996
9,decay,0.15000000000000002,0,3.2999999999999994
9,decay,0.15000000000000002,0,3.599999999999999
9,decay,0.15000000000000002,0,3.899999999999999
9,decay,0.15000000000000002,0,4.199999999999999
9,decay,0.15000000000000002,0,4.499999999999999
9,decay,0.15000000000000002,0,4.799999999999999
9,decay,0.15000000000000002,0,5.099999999999999
9,decay,0.15000000000000002,0,5.399999999999999
9,decay,0.15000000000000002,0,5.699999999999998
9,decay,0.15000000000000002,0,5.999999999999998
9,decay,0.15000000000000002,0,6.299999999999998
9,decay,0.15000000000000002,0,6.599999999999998
9,decay,0.15000000000000002,0,6.899999999999998
9,decay,0.15000000000000002,0,7.1999999999999975
9,decay,0.15000000000000002,0,7.499999999999997
9,decay,0.15000000000000002,0,7.799999999999997
9,decay,0.15000000000000002,0,8.099999999999998
9,decay,0.15000000000000002,0,8.399999999999999
9,decay,0.15000000000000002,0,8.7
9,decay,0.15000000000000002,0,9.0
9,decay,0.15000000000000002,0,9.3
9,decay,0.15000000000000002,0,9.600000000000001
9,decay,0.15000000000000002,0,9.900000000000002
9,decay,0.15000000000000002,0,10.200000000000003
9,decay,0.15000000000000002,0,10.500000000000004
9,decay,0.15000000000000002,0,10.800000000000004
9,decay,0.15000000000000002,0,11.100000000000005
9,decay,0.15000000000000002,0,11.400000000000006
9,decay,0.15000000000000002,0,11.700000000000006
9,decay,0.15000000000000002,0,12.000000000000007
9,decay,0.15000000000000002,0,12.300000000000008
9,decay,0.15000000000000002,0,12.600000000000009
9,decay,0.15000000000000002,0,12.90000000000001
9,decay,0.15000000000000002,0,13.20000000000001
9,decay,0.15000000000000002,0,13.50000000000001
9,decay,0.15000000000000002,0,13.800000000000011
9,decay,0.15000000000000002,0,14.100000000000012
9,decay,0.15000000000000002,0,14.400000000000013
9,decay,0.15000000000000002,0,14.700000000000014
